time, px, py, pz, qw, qx, qy, qz
5639.4367330900004163, -0.131512, 0.0242228, -0.107574, -0.0185952, 0.728045, -0.685189, -0.0110357
5639.4700494520002394, -0.131817, 0.0235117, -0.107112, -0.0157592, 0.728901, -0.684341, -0.0115053
5639.5033657860003586, -0.13346, 0.0240006, -0.108119, -0.0125447, 0.72871, -0.684599, -0.0121994
5639.5366820899998856, -0.136736, 0.024616, -0.11032, -0.00751887, 0.727885, -0.685505, -0.0145036
5639.5699984519997088, -0.139167, 0.0277179, -0.110664, -0.0026672, 0.724305, -0.689269, -0.0168358
5639.603314785999828, -0.140233, 0.0318731, -0.111514, -0.00174837, 0.720546, -0.693153, -0.0186825
5639.6366310860003068, -0.139707, 0.0350338, -0.113248, -0.0010401, 0.718765, -0.695009, -0.0183829
5639.6699474240003838, -0.138862, 0.0373121, -0.114397, -0.00055582, 0.71786, -0.69598, -0.0170116
5639.7032637860002069, -0.13925, 0.0369155, -0.116903, -0.00276383, 0.717924, -0.69591, -0.0169332
5639.736580118999882, -0.140235, 0.0373376, -0.115806, 0.000790933, 0.717407, -0.69636, -0.0202495
5639.7700464239997018, -0.138456, 0.0365237, -0.114485, 0.000192741, 0.719604, -0.694014, -0.0226683
5639.8033627900003921, -0.139904, 0.0374055, -0.118222, -0.00213699, 0.723059, -0.690359, -0.0241923
5639.8366791190001095, -0.143302, 0.0391479, -0.120431, -0.00343201, 0.722523, -0.690921, -0.0240292
5639.8699958050001442, -0.148339, 0.03639, -0.117199, -0.000668551, 0.720197, -0.693446, -0.0211723
5639.9033117859999038, -0.152769, 0.0308897, -0.11426, 0.00369019, 0.717827, -0.696036, -0.0156193
5639.9366281190004884, -0.151184, 0.0266101, -0.113746, 0.00317667, 0.717061, -0.696911, -0.0113156
5639.9699444520001634, -0.149517, 0.0260831, -0.114692, 0.00142216, 0.717508, -0.69646, -0.0110892
5640.0032608620003884, -0.149278, 0.0266114, -0.116777, 6.94776e-05, 0.718161, -0.695762, -0.012628
5640.036577085999852, -0.150091, 0.0266102, -0.119, -0.000389829, 0.718874, -0.695, -0.013977
5640.0698934239999289, -0.152042, 0.0293972, -0.121525, -0.000796172, 0.718418, -0.695438, -0.0155344
5640.1032125279998581, -0.15309, 0.0300559, -0.121339, -0.000309981, 0.718394, -0.695479, -0.0147873
5640.1366761050003333, -0.152257, 0.0276126, -0.121204, -0.000125742, 0.720063, -0.693791, -0.0127574
5640.1699924189997546, -0.151672, 0.0291052, -0.122724, -0.00319924, 0.719208, -0.694636, -0.0144926
5640.2033087660001911, -0.150979, 0.0282958, -0.122035, -0.00496429, 0.720558, -0.693223, -0.0146003
5640.2366251190005642, -0.150986, 0.0292943, -0.122475, -0.00780355, 0.721646, -0.692022, -0.0165024
5640.2699413899999854, -0.150657, 0.0302574, -0.122893, -0.00997059, 0.722015, -0.691595, -0.017059
5640.3032577240001046, -0.151165, 0.0305925, -0.123439, -0.0105495, 0.722423, -0.69114, -0.0178699
5640.3365740899998855, -0.152399, 0.0300288, -0.123772, -0.0100872, 0.721344, -0.692263, -0.0182632
5640.3698904190005123, -0.151968, 0.0276645, -0.125069, -0.0102363, 0.722074, -0.691517, -0.0175519
5640.4032067520001874, -0.151693, 0.0273813, -0.126967, -0.0128252, 0.7202, -0.693441, -0.0169546
5640.4365231190004124, -0.151889, 0.0270455, -0.129114, -0.0161965, 0.71787, -0.695801, -0.0161971
5640.4699894189998304, -0.152552, 0.0252184, -0.128881, -0.0165203, 0.717864, -0.695799, -0.016215
5640.5033057850005207, -0.153142, 0.0230382, -0.128149, -0.0156646, 0.719548, -0.694045, -0.0175065
5640.5366221240001323, -0.156065, 0.0219792, -0.127324, -0.0153497, 0.718177, -0.695448, -0.0183984
5640.569938452000315, -0.158563, 0.0221784, -0.126832, -0.0162894, 0.715964, -0.697707, -0.0183168
5640.6032547849999901, -0.160788, 0.0210949, -0.126179, -0.0160595, 0.715143, -0.698547, -0.0185843
5640.6365710899999613, -0.162432, 0.0220001, -0.126112, -0.0155956, 0.714404, -0.699289, -0.0194473
5640.6698874189996786, -0.163381, 0.0233912, -0.126529, -0.0164113, 0.713231, -0.70046, -0.019671
5640.703203785000369, -0.162728, 0.0260254, -0.127786, -0.0178606, 0.711908, -0.701781, -0.0192743
