time px py pz qx qy qz qw
193431.042960970 -0.035189 -0.014449 0.120505 -0.116420 -0.026720 -0.031023 0.992356
193431.143059937 -0.037046 -0.013288 0.122829 -0.113057 -0.025504 -0.032826 0.992718
193431.243008970 -0.036889 -0.011381 0.125044 -0.112065 -0.026340 -0.034205 0.992763
193431.342957970 -0.036970 -0.010776 0.125411 -0.117526 -0.026364 -0.037262 0.992020
193431.443056942 -0.036988 -0.009286 0.126580 -0.125647 -0.026871 -0.040784 0.990872
193431.543005937 -0.037220 -0.008029 0.127326 -0.136104 -0.028475 -0.043028 0.989350
193431.642954937 -0.038716 -0.008119 0.127305 -0.137451 -0.031434 -0.043503 0.989053
193431.742903942 -0.038339 -0.007635 0.128674 -0.144047 -0.038974 -0.040879 0.987958
193431.843002970 -0.038975 -0.005664 0.132008 -0.134974 -0.045596 -0.039424 0.989014
193431.942951937 -0.040700 -0.007293 0.130065 -0.108508 -0.036817 -0.047284 0.992288
193432.042900942 -0.040371 -0.005539 0.136282 -0.137514 -0.035056 -0.049659 0.988633
193432.142999970 -0.040694 -0.004878 0.138683 -0.149690 -0.034328 -0.051498 0.986794
193432.242948942 -0.040422 -0.003326 0.137297 -0.146127 -0.034623 -0.049891 0.987400
193432.342897937 -0.039981 0.000137 0.138351 -0.148676 -0.035132 -0.045199 0.987228
193432.442846937 -0.038934 -0.000135 0.136933 -0.138341 -0.035034 -0.042296 0.988861
193432.542945937 -0.038146 -0.001936 0.134178 -0.126144 -0.035052 -0.037209 0.990694
193432.642895299 -0.037436 -0.003896 0.133665 -0.130832 -0.034501 -0.032037 0.990286
193432.742843937 -0.037841 -0.003731 0.132033 -0.132105 -0.033100 -0.029731 0.990237
193432.842942970 -0.036894 -0.003476 0.132745 -0.136394 -0.024696 -0.026028 0.990005
193432.942891965 -0.036202 -0.002361 0.132699 -0.146371 -0.021147 -0.023955 0.988714
193433.042840970 -0.036116 -0.000406 0.133893 -0.161899 -0.027292 -0.020101 0.986225
193433.142789970 -0.036393 0.000376 0.131499 -0.158781 -0.034143 -0.015367 0.986604
193433.242888937 -0.037154 0.002943 0.130768 -0.162689 -0.042365 -0.020759 0.985549
193433.342837970 -0.037547 0.005293 0.128627 -0.158685 -0.041704 -0.029989 0.985992
193433.442786941 -0.037922 0.006317 0.128781 -0.156565 -0.042906 -0.035767 0.986087
193433.542885937 -0.038733 0.006527 0.129468 -0.155980 -0.045001 -0.042841 0.985804
193433.642834970 -0.038863 0.006841 0.130081 -0.156810 -0.044935 -0.043199 0.985660
193433.742783970 -0.040970 0.006076 0.135624 -0.176889 -0.040058 -0.049117 0.982188
193433.842732941 -0.041115 0.006995 0.135358 -0.174950 -0.038487 -0.051381 0.982482
193433.942831941 -0.039874 0.010044 0.136238 -0.176764 -0.029795 -0.050170 0.982522
193434.042780937 -0.037895 0.008646 0.132914 -0.155686 -0.026588 -0.048475 0.986258
193434.142729937 -0.037151 0.007857 0.131490 -0.147487 -0.025084 -0.049878 0.987487
193434.242828941 -0.038339 0.006976 0.130385 -0.143331 -0.027183 -0.052793 0.987892
193434.342777970 -0.038073 0.007694 0.130838 -0.138097 -0.026644 -0.052558 0.988664
193434.442726970 -0.038202 0.007967 0.130047 -0.135773 -0.026582 -0.052313 0.989001
193434.542675970 -0.037910 0.006448 0.125288 -0.116716 -0.037350 -0.050177 0.991194
193434.642774970 -0.038344 0.005849 0.124898 -0.121507 -0.037297 -0.050235 0.990617
193434.742723908 -0.039507 0.003189 0.123011 -0.121300 -0.037636 -0.050077 0.990637
193434.842672941 -0.038700 0.003239 0.121447 -0.122403 -0.037714 -0.050127 0.990496
193434.942771965 -0.038962 0.003216 0.120960 -0.124703 -0.038242 -0.049736 0.990209
193435.042720970 -0.039044 0.003444 0.121330 -0.131378 -0.037967 -0.049242 0.989380
193435.142669970 -0.039942 0.007771 0.125590 -0.153134 -0.035941 -0.051922 0.986186
193435.242618908 -0.039390 0.011063 0.128963 -0.169900 -0.036241 -0.052013 0.983420
193435.342717941 -0.040247 0.013969 0.128311 -0.175349 -0.041016 -0.049144 0.982423
193435.442666970 -0.039945 0.015872 0.125369 -0.163249 -0.056704 -0.045291 0.983912
193435.542615941 -0.039131 0.019329 0.125684 -0.184165 -0.052216 -0.046477 0.980406
193435.642714932 -0.040625 0.020834 0.124553 -0.166978 -0.055881 -0.044834 0.983354
193435.742663941 -0.039802 0.023301 0.123915 -0.161186 -0.051974 -0.045746 0.984492
193435.842612936 -0.039462 0.025953 0.124988 -0.165788 -0.050590 -0.045683 0.983803
193435.942711941 -0.039012 0.027489 0.124959 -0.161714 -0.049596 -0.046056 0.984514
193436.042660908 -0.038796 0.028579 0.125359 -0.158153 -0.049445 -0.045439 0.985128
193436.142609970 -0.038564 0.028484 0.125799 -0.154794 -0.049938 -0.045169 0.985649
193436.242558908 -0.038082 0.027838 0.125679 -0.151944 -0.048313 -0.046681 0.986103
193436.342657941 -0.037388 0.027599 0.125012 -0.148024 -0.048283 -0.045151 0.986772
193436.442606941 -0.037061 0.027608 0.124484 -0.142933 -0.048490 -0.044083 0.987560
193436.542555936 -0.037029 0.029539 0.123316 -0.136526 -0.046525 -0.044101 0.988560
193436.642654936 -0.037135 0.031092 0.123444 -0.135821 -0.047410 -0.043818 0.988628
193436.742603936 -0.035119 0.028960 0.121805 -0.129889 -0.047873 -0.043811 0.989403
193436.842552908 -0.033651 0.028070 0.121669 -0.129425 -0.048406 -0.043604 0.989447
193436.942501969 -0.032932 0.027541 0.121225 -0.131025 -0.048125 -0.043053 0.989274
