time px py pz qx qy qz qw
24871.613198621 -0.137124 -0.829445 1.434138 0.748443 0.123311 -0.000409 -0.651635
24871.713147625 -0.140825 -0.853907 1.438524 0.749189 0.119050 0.006376 -0.651538
24871.813096654 -0.151204 -0.888350 1.446169 0.748788 0.108550 0.028528 -0.653238
24871.913045620 -0.173212 -0.938673 1.461355 0.745474 0.087271 0.072929 -0.656760
24872.013144620 -0.172386 -0.969338 1.456608 0.737325 0.068831 0.082631 -0.666923
24872.113093654 -0.172431 -0.982517 1.482470 0.753464 0.074824 0.090040 -0.646983
24872.213046535 -0.167006 -0.985682 1.502700 0.753743 0.106180 0.086352 -0.642760
24872.313141654 -0.165785 -0.998973 1.508266 0.753734 0.111361 0.086829 -0.641828
24872.413090625 -0.169319 -1.024542 1.511667 0.754285 0.102911 0.091177 -0.641989
24872.513039620 -0.169567 -1.043056 1.514565 0.754812 0.102326 0.090269 -0.641592
24872.612988654 -0.168417 -1.055057 1.519104 0.755018 0.108005 0.087688 -0.640776
24872.713087654 -0.167670 -1.068522 1.523548 0.755555 0.112078 0.085988 -0.639673
24872.813036620 -0.169066 -1.091368 1.524703 0.754916 0.106900 0.087713 -0.641078
24872.912985620 -0.169114 -1.107807 1.529274 0.755234 0.108150 0.088322 -0.640410
24873.013084654 -0.167759 -1.124002 1.535273 0.757105 0.110536 0.086232 -0.638074
24873.113033654 -0.169395 -1.145662 1.534866 0.758261 0.104472 0.084421 -0.637965
24873.212982620 -0.173109 -1.169203 1.534121 0.762540 0.094221 0.079229 -0.635121
24873.312931620 -0.178144 -1.194459 1.524687 0.763376 0.071441 0.073693 -0.637748
24873.413030620 -0.177014 -1.215969 1.522220 0.765427 0.064540 0.064027 -0.637069
24873.512979654 -0.177139 -1.231853 1.525827 0.765931 0.063476 0.065619 -0.636407
24873.612928654 -0.177977 -1.245056 1.529728 0.769517 0.074265 0.052341 -0.632130
24873.713027592 -0.178535 -1.259748 1.537869 0.776292 0.073076 0.053662 -0.623819
24873.812976620 -0.178187 -1.273317 1.547974 0.786822 0.071905 0.055586 -0.610451
24873.912925654 -0.176983 -1.286198 1.558533 0.797536 0.070911 0.056715 -0.596399
24874.012874500 -0.177911 -1.296373 1.570091 0.809586 0.069837 0.057824 -0.579957
24874.112959526 -0.179111 -1.312548 1.586692 0.820843 0.068639 0.059762 -0.563856
24874.212896428 -0.179492 -1.329553 1.602940 0.830074 0.067547 0.061332 -0.550139
24874.312829940 -0.180534 -1.349945 1.616394 0.834694 0.066395 0.062452 -0.543118
24874.412915126 -0.182203 -1.371345 1.630116 0.839921 0.065402 0.064063 -0.534930
24874.512850333 -0.182944 -1.395583 1.642855 0.841822 0.064983 0.064917 -0.531882
24874.612785507 -0.183876 -1.417370 1.654475 0.843287 0.064579 0.065718 -0.529508
24874.712720747 -0.184998 -1.435325 1.664226 0.844880 0.064243 0.065763 -0.526997
24874.812805933 -0.186143 -1.453139 1.675160 0.847676 0.063750 0.066034 -0.522514
24874.912741112 -0.187161 -1.473132 1.688663 0.851467 0.063520 0.066277 -0.516310
24875.012676347 -0.188158 -1.488623 1.700183 0.855702 0.063058 0.066404 -0.509302
24875.112775653 -0.189319 -1.507023 1.714210 0.859668 0.062495 0.066631 -0.502619
24875.212724653 -0.190367 -1.522830 1.726061 0.863579 0.062292 0.066457 -0.495918
24875.312673591 -0.192715 -1.539386 1.740900 0.867575 0.062125 0.066325 -0.488932
24875.412622620 -0.194053 -1.554786 1.753515 0.870876 0.062054 0.066410 -0.483026
24875.512721620 -0.195680 -1.572457 1.768244 0.873484 0.061800 0.066178 -0.478359
24875.612670620 -0.196939 -1.588022 1.780921 0.876127 0.061582 0.066557 -0.473476
24875.712619625 -0.198815 -1.605091 1.795748 0.878777 0.061206 0.066851 -0.468546
24875.812718653 -0.199382 -1.617543 1.805857 0.880654 0.060827 0.067022 -0.465035
24875.912667625 -0.201178 -1.633140 1.819196 0.881782 0.061318 0.066214 -0.462943
24876.012616653 -0.202812 -1.649183 1.831637 0.882645 0.061230 0.066651 -0.461244
24876.112565653 -0.203808 -1.666533 1.844397 0.882671 0.061550 0.066182 -0.461219
24876.212666196 -0.206146 -1.689795 1.861528 0.882893 0.061526 0.066539 -0.460746
24876.312614220 -0.208115 -1.710550 1.875589 0.881967 0.061665 0.066709 -0.462473
24876.412563239 -0.209146 -1.732719 1.887721 0.878084 0.061974 0.066476 -0.469796
24876.512661653 -0.210955 -1.758141 1.899661 0.869766 0.063659 0.065418 -0.484949
24876.612610653 -0.211442 -1.779768 1.904421 0.858055 0.064911 0.064337 -0.505360
24876.712559653 -0.211553 -1.799948 1.906547 0.842644 0.066456 0.062367 -0.530702
24876.812508620 -0.210596 -1.817421 1.903139 0.823491 0.068126 0.060075 -0.560011
24876.912610210 -0.209127 -1.831972 1.896228 0.802977 0.070115 0.057606 -0.589061
24877.012556653 -0.207428 -1.845291 1.886765 0.781208 0.071754 0.055336 -0.617660
24877.112505624 -0.205948 -1.854782 1.877652 0.761021 0.073212 0.053335 -0.642373
24877.212604653 -0.204522 -1.859386 1.868224 0.743199 0.074634 0.051316 -0.662911
24877.312553663 -0.203178 -1.863198 1.858098 0.724864 0.076011 0.049092 -0.682924
24877.412502596 -0.202124 -1.866257 1.847793 0.706213 0.077157 0.047292 -0.702192
24877.512451629 -0.201692 -1.869032 1.837969 -0.687661 -0.078365 -0.045337 0.720365
24877.612550624 -0.200953 -1.871269 1.828404 -0.669580 -0.079308 -0.043717 0.737198
24877.712499624 -0.199936 -1.872180 1.820862 -0.655166 -0.080054 -0.042164 0.750048
24877.812448653 -0.200042 -1.871670 1.813144 -0.643829 -0.080451 -0.041027 0.759822
24877.912547653 -0.199651 -1.868577 1.807118 -0.634825 -0.080587 -0.040154 0.767392
24878.012496624 -0.199634 -1.862407 1.805235 -0.631668 -0.080505 -0.039912 0.770014
24878.112445653 -0.200846 -1.846821 1.807307 -0.630216 -0.079811 -0.040264 0.771256
