time px py pz qx qy qz qw
193608.760193389 -0.056159 -0.051091 0.043930 0.528104 0.022717 0.049930 0.847406
193608.860142422 -0.056266 -0.051101 0.043864 0.527868 0.022642 0.049866 0.847559
193608.960091422 -0.056303 -0.051169 0.043836 0.528368 0.022698 0.049907 0.847244
193609.060189533 -0.056272 -0.051170 0.043806 0.528444 0.022723 0.049934 0.847194
193609.160136867 -0.056231 -0.051159 0.043768 0.528651 0.022779 0.049940 0.847063
193609.260084168 -0.056298 -0.051165 0.043693 0.528565 0.022750 0.049907 0.847119
193609.360181466 -0.056325 -0.051184 0.043596 0.528794 0.022737 0.049905 0.846977
193609.460128734 -0.056408 -0.051266 0.043492 0.528734 0.022683 0.049883 0.847017
193609.560076039 -0.056439 -0.051238 0.043498 0.529140 0.022717 0.049912 0.846761
193609.660023369 -0.056531 -0.051220 0.043531 0.529129 0.022664 0.049890 0.846770
193609.760120638 -0.056611 -0.051231 0.043517 0.529006 0.022614 0.049854 0.846850
193609.860067968 -0.056703 -0.051341 0.043437 0.529052 0.022586 0.049806 0.846825
193609.960015235 -0.056737 -0.051303 0.043487 0.529163 0.022580 0.049805 0.846756
193610.060113405 -0.056872 -0.051365 0.043418 0.529215 0.022529 0.049738 0.846729
193610.160062405 -0.056942 -0.051392 0.043471 0.529611 0.022521 0.049782 0.846479
193610.260011376 -0.056996 -0.051341 0.043503 0.529759 0.022505 0.049744 0.846389
193610.359960372 -0.057176 -0.051342 0.043510 0.529722 0.022433 0.049665 0.846419
193610.460059405 -0.057268 -0.051367 0.043595 0.530098 0.022413 0.049682 0.846183
193610.560008405 -0.057194 -0.051444 0.043588 0.530798 0.022522 0.049713 0.845739
193610.659957405 -0.057197 -0.051544 0.043492 0.530477 0.022471 0.049673 0.845944
193610.760056372 -0.057145 -0.051598 0.043511 0.530747 0.022516 0.049707 0.845772
193610.860005405 -0.057168 -0.051562 0.043570 0.530651 0.022499 0.049701 0.845833
193610.959954405 -0.057236 -0.051621 0.043586 0.530865 0.022489 0.049669 0.845701
193611.059903376 -0.057226 -0.051637 0.043613 0.531269 0.022544 0.049654 0.845447
193611.160002372 -0.057057 -0.051653 0.043674 0.531859 0.022682 0.049714 0.845068
193611.259951376 -0.057038 -0.051678 0.043740 0.531528 0.022667 0.049708 0.845277
193611.359900405 -0.056867 -0.051647 0.043689 0.531930 0.022771 0.049754 0.845018
193611.459999405 -0.056896 -0.051668 0.043684 0.531938 0.022761 0.049753 0.845014
193611.559948405 -0.056839 -0.051583 0.043644 0.532069 0.022781 0.049785 0.844929
193611.659897395 -0.056783 -0.051548 0.043725 0.532558 0.022855 0.049813 0.844617
193611.759996371 -0.056699 -0.051521 0.043888 0.532622 0.022912 0.049814 0.844575
193611.859945405 -0.056602 -0.051463 0.043924 0.532586 0.022949 0.049829 0.844596
193611.959894371 -0.056683 -0.051459 0.043934 0.532520 0.022920 0.049805 0.844640
193612.059843405 -0.056990 -0.052086 0.043776 0.531959 0.023329 0.049900 0.844976
193612.159942371 -0.056863 -0.059502 0.047655 0.531313 0.023593 0.050044 0.845367
193612.259891357 -0.057255 -0.071110 0.053772 0.531943 0.025329 0.050917 0.844868
193612.359840371 -0.056048 -0.094488 0.066643 0.532333 0.023869 0.049988 0.844721
193612.459939376 -0.056301 -0.114340 0.076829 0.532268 0.024150 0.049856 0.844762
193612.559888371 -0.056038 -0.126368 0.083083 0.532690 0.023949 0.049630 0.844514
193612.659837376 -0.056354 -0.133006 0.085557 0.532318 0.024842 0.049942 0.844705
