time, px, py, pz, qw, qx, qy, qz
24381.255748431001848, 0.157107, 0.294104, -0.212688, -0.0286402, 0.716943, -0.696521, -0.00556183
24381.289064736003638, 0.156078, 0.293934, -0.21256, -0.0283644, 0.71669, -0.696792, -0.0056191
24381.322381126003165, 0.155877, 0.294748, -0.21088, -0.0282327, 0.716715, -0.696776, -0.00510961
24381.355697402002988, 0.155271, 0.293975, -0.211458, -0.028196, 0.716596, -0.6969, -0.00502016
24381.389013845004229, 0.154807, 0.292743, -0.211419, -0.0295928, 0.715989, -0.697472, -0.0040318
24381.422330126002635, 0.153059, 0.292692, -0.212174, -0.0297167, 0.715405, -0.698065, -0.00434177
24381.455646421003621, 0.152455, 0.293675, -0.208705, -0.0289701, 0.715461, -0.698042, -0.00367294
24381.488962759001879, 0.152358, 0.293814, -0.20856, -0.0286255, 0.715468, -0.698048, -0.00382389
24381.522279126002104, 0.151759, 0.29432, -0.208173, -0.0287251, 0.71543, -0.698083, -0.00384675
24381.555596183003217, 0.151796, 0.294158, -0.208031, -0.0287188, 0.71543, -0.698084, -0.003706
24381.589061764003418, 0.151477, 0.294171, -0.207785, -0.0287028, 0.715379, -0.698138, -0.00363258
24381.622378126001422, 0.150884, 0.294032, -0.207912, -0.0286569, 0.715282, -0.698239, -0.00373342
24381.655694398003106, 0.149017, 0.293521, -0.209117, -0.0290419, 0.715087, -0.698421, -0.00392347
24381.689010793004854, 0.148383, 0.293298, -0.209509, -0.0292011, 0.715016, -0.698486, -0.00396549
24381.722327126004529, 0.149466, 0.293434, -0.208898, -0.0289782, 0.715337, -0.698169, -0.00380905
24381.755643431002682, 0.149013, 0.292604, -0.209823, -0.028797, 0.715576, -0.69793, -0.00405526
24381.788959793004324, 0.144798, 0.283441, -0.210552, -0.0273847, 0.71463, -0.698964, -0.00188846
24381.822276093003893, 0.138162, 0.268292, -0.214761, -0.0280895, 0.712749, -0.70085, 0.00282841
24381.855592459003674, 0.136989, 0.247735, -0.222803, -0.0276543, 0.712049, -0.701541, 0.00789003
24381.888908759003243, 0.132468, 0.234172, -0.228422, -0.0262917, 0.712592, -0.701008, 0.0104643
24381.922225126003468, 0.129423, 0.223465, -0.234459, -0.0248419, 0.713804, -0.69981, 0.0115155
24381.955691431001469, 0.12489, 0.217202, -0.234712, -0.0233239, 0.713493, -0.700132, 0.0140974
24381.989007793003111, 0.121586, 0.204801, -0.239582, -0.0249045, 0.710802, -0.702688, 0.0192333
24382.022324126002786, 0.137077, 0.182601, -0.267064, -0.0315556, 0.708202, -0.704937, 0.0227712
24382.055640459002461, 0.16276, 0.170289, -0.274654, -0.032134, 0.711221, -0.70167, 0.0281198
24382.088956759002031, 0.200574, 0.15053, -0.281393, -0.0270793, 0.71428, -0.698532, 0.0335275
24382.122273097003927, 0.190776, 0.178094, -0.237181, -0.0120722, 0.715539, -0.697403, 0.038568
24382.155589431004046, 0.187355, 0.156783, -0.215302, -0.0110659, 0.715499, -0.69706, 0.0452267
24382.18890579300205, 0.1752, 0.165764, -0.205571, -0.0110031, 0.715175, -0.697368, 0.0456189
24382.222222126001725, 0.154609, 0.158143, -0.197686, -0.0042227, 0.713502, -0.699242, 0.0442446
24382.2555384590014, 0.116656, 0.142915, -0.17564, 0.00744921, 0.708875, -0.703792, 0.0460089
24382.289004793001368, 0.0841735, 0.0906669, -0.169524, 0.0278223, 0.698725, -0.713509, 0.0437584
24382.322321093004575, 0.0567889, 0.0675208, -0.208508, 0.0313766, 0.686999, -0.725136, 0.0350193
24382.355637402004504, 0.054249, 0.064807, -0.210348, 0.0375035, 0.680809, -0.730902, 0.0295649
24382.388953793004475, 0.0988773, 0.0707157, -0.223296, 0.030372, 0.690495, -0.721941, 0.0330986
24382.42227012600415, 0.149227, 0.0664443, -0.275348, 0.0199716, 0.698889, -0.714394, 0.0282159
24382.455586464002408, 0.142538, 0.0525649, -0.26075, 0.0262443, 0.694766, -0.718313, 0.0252457
24382.488902764001978, 0.13599, 0.0390637, -0.263903, 0.0314621, 0.690794, -0.722133, 0.0183706
24382.522219093003514, 0.142675, 0.0349526, -0.281607, 0.029881, 0.691114, -0.721993, 0.0139335
24382.555535431001772, 0.154647, 0.0355769, -0.295416, 0.0229448, 0.694873, -0.718622, 0.0144123
24382.588851764001447, 0.132847, 0.00947393, -0.261607, 0.0307645, 0.690625, -0.722445, 0.0128482
24382.622169007001503, 0.141472, 0.0131275, -0.244951, 0.0381935, 0.689248, -0.723455, 0.00957668
24382.655634459002613, 0.127538, 0.0156419, -0.245949, 0.040176, 0.687639, -0.724899, 0.00774142
24382.688950764004403, 0.127045, 0.0219296, -0.253343, 0.0395549, 0.688086, -0.724532, 0.00512683
24382.722267126002407, 0.127888, 0.0177589, -0.248973, 0.0404028, 0.687865, -0.72469, 0.00581171
24382.75558340200223, 0.127493, 0.0123819, -0.244041, 0.0413427, 0.687403, -0.725065, 0.00690409
24382.788899759001652, 0.126006, 0.00930617, -0.248216, 0.0407816, 0.687393, -0.725112, 0.0063438
24382.822216126001877, 0.122097, 0.0079218, -0.250907, 0.039932, 0.687064, -0.725477, 0.00565435
24382.855532459001552, 0.123971, 0.00626461, -0.243614, 0.0413565, 0.687135, -0.725328, 0.00598282
24382.888848793001671, 0.125703, 0.00754699, -0.245889, 0.0412342, 0.687603, -0.724899, 0.00480296
24382.922165126001346, 0.128797, 0.0099409, -0.249232, 0.0398583, 0.688355, -0.724266, 0.00425844
24382.955481488002988, 0.129364, 0.00862462, -0.247303, 0.0399615, 0.688416, -0.724199, 0.00474101
24382.988947735004331, 0.1289, 0.00670814, -0.245459, 0.0405796, 0.68823, -0.72434, 0.00490581
24383.022264064002229, 0.128836, 0.00589331, -0.244856, 0.0407023, 0.688124, -0.724433, 0.00497628
24383.055580431002454, 0.128881, 0.00546896, -0.245016, 0.0406188, 0.688107, -0.724455, 0.00481801
24383.088896759003546, 0.129442, 0.00562864, -0.245537, 0.0404247, 0.688223, -0.724357, 0.00458441
24383.122213093003666, 0.129889, 0.0059801, -0.247512, 0.0399962, 0.688345, -0.724268, 0.00409144
24383.155529431001924, 0.130393, 0.00571508, -0.24622, 0.0401217, 0.6884, -0.724207, 0.00435041
24383.188845793003566, 0.130124, 0.00545546, -0.245297, 0.040249, 0.68835, -0.724247, 0.00457271
24383.222162097004912, 0.130038, 0.00530792, -0.245254, 0.0402491, 0.688318, -0.724278, 0.00455232
24383.255478431001393, 0.12988, 0.00508555, -0.245583, 0.0401439, 0.68827, -0.72433, 0.00443422
24383.288794793003035, 0.12972, 0.00492746, -0.245708, 0.0400934, 0.688231, -0.72437, 0.00437084
24383.322261126002559, 0.129897, 0.00480798, -0.24593, 0.0400333, 0.688246, -0.724359, 0.00428406
24383.355577488004201, 0.129801, 0.00479906, -0.245872, 0.0399817, 0.688263, -0.724346, 0.00433252
24383.388893793002353, 0.129759, 0.00480725, -0.245595, 0.0400212, 0.688277, -0.72433, 0.00438106
24383.422210116004862, 0.129822, 0.00479564, -0.245695, 0.0399719, 0.688293, -0.724318, 0.0043338
24383.455526426001597, 0.12997, 0.0046359, -0.245879, 0.0398807, 0.688315, -0.724302, 0.00428894
24383.48884275900491, 0.129875, 0.00463412, -0.245783, 0.0399181, 0.688303, -0.724312, 0.00427621
24383.522159093001392, 0.129782, 0.00464565, -0.245718, 0.0399391, 0.688299, -0.724314, 0.00427563
24383.555475402001321, 0.129773, 0.00460108, -0.245655, 0.0399384, 0.688298, -0.724316, 0.00427803
24383.58879179300493, 0.12979, 0.00463896, -0.245593, 0.03995, 0.688313, -0.7243, 0.00429447
24383.622108116003801, 0.129739, 0.00460885, -0.24565, 0.0399301, 0.688306, -0.724308, 0.00428502
24383.655424426004174, 0.1297, 0.00452799, -0.245769, 0.0398858, 0.688293, -0.724323, 0.00426035
24383.688891250003508, 0.129673, 0.00454481, -0.24576, 0.0398767, 0.688304, -0.724313, 0.00427693
24383.722207097001956, 0.129697, 0.00451336, -0.245804, 0.03987, 0.688299, -0.724319, 0.00426491
24383.755523426003492, 0.129704, 0.00447603, -0.245875, 0.039853, 0.688298, -0.72432, 0.00424046
24383.788840492001327, 0.129632, 0.00443136, -0.246023, 0.0398191, 0.688278, -0.724341, 0.00423419
24383.822156092002842, 0.130004, 0.00470527, -0.245583, 0.0399627, 0.688384, -0.724233, 0.004294
24383.855472459003067, 0.130166, 0.00498666, -0.245351, 0.0401454, 0.688457, -0.724152, 0.00434385
